ProteinId:ID(Protein),EntryName,FullName,:LABEL
O43482,MS18B_HUMAN,Protein Mis18-beta,Protein
Q9H3V2,MS4A5_HUMAN,Membrane-spanning 4-domains subfamily A member 5,Protein
Q9ULH7,MRTFB_HUMAN,Myocardin-related transcription factor B,Protein
Q9GZW8,MS4A7_HUMAN,Membrane-spanning 4-domains subfamily A member 7,Protein
Q9UKD2,MRT4_HUMAN,mRNA turnover protein 4 homolog,Protein
Q92887,MRP2_HUMAN,ATP-binding cassette sub-family C member 2,Protein
O95255,MRP6_HUMAN,ATP-binding cassette sub-family C member 6,Protein
Q9NYP9,MS18A_HUMAN,Protein Mis18-alpha,Protein
Q5T3U5,MRP7_HUMAN,ATP-binding cassette sub-family C member 10,Protein
O15438,MRP3_HUMAN,ATP-binding cassette sub-family C member 3,Protein
Q96J66,MRP8_HUMAN,ATP-binding cassette sub-family C member 11,Protein
Q8N5Y2,MS3L1_HUMAN,MSL complex subunit 3,Protein
Q96J65,MRP9_HUMAN,ATP-binding cassette sub-family C member 12,Protein
P0C860,MS3L2_HUMAN,MSL complex subunit 3B,Protein
Q96HJ5,MS4A3_HUMAN,Membrane-spanning 4-domains subfamily A member 3,Protein
Q6P1R3,MSD2_HUMAN,Myb/SANT-like DNA-binding domain-containing protein 2,Protein
Q8NCY6,MSD4_HUMAN,Myb/SANT-like DNA-binding domain-containing protein 4,Protein
Q96H12,MSD3_HUMAN,Myb/SANT-like DNA-binding domain-containing protein 3,Protein
A0A3B3IT52,MSD5_HUMAN,Putative uncharacterized protein MSANTD5,Protein
A6NI15,MSGN1_HUMAN,Mesogenin-1,Protein
P20585,MSH3_HUMAN,DNA mismatch repair protein Msh3,Protein
A0A1W2PQ72,MSD7_HUMAN,Myb/SANT-like DNA-binding domain-containing protein 7,Protein
O15457,MSH4_HUMAN,MutS protein homolog 4,Protein
Q6ZTZ1,MSD1_HUMAN,Myb/SANT-like DNA-binding domain-containing protein 1,Protein
O43196,MSH5_HUMAN,MutS protein homolog 5,Protein
P43246,MSH2_HUMAN,DNA mismatch repair protein Msh2,Protein
P52701,MSH6_HUMAN,DNA mismatch repair protein Msh6,Protein
Q01726,MSHR_HUMAN,Melanocyte-stimulating hormone receptor,Protein
P08118,MSMB_HUMAN,Beta-microseminoprotein,Protein
O43347,MSI1H_HUMAN,RNA-binding protein Musashi homolog 1,Protein
Q1L6U9,MSMP_HUMAN,Prostate-associated microseminoprotein,Protein
Q96KJ4,MSLNL_HUMAN,Mesothelin-like protein,Protein
Q68DK7,MSL1_HUMAN,Male-specific lethal 1 homolog,Protein
Q13421,MSLN_HUMAN,Mesothelin,Protein
Q96DH6,MSI2H_HUMAN,RNA-binding protein Musashi homolog 2,Protein
Q15800,MSMO1_HUMAN,Methylsterol monooxygenase 1,Protein
Q9UJG1,MSPD1_HUMAN,Motile sperm domain-containing protein 1,Protein
Q8NHP6,MSPD2_HUMAN,Motile sperm domain-containing protein 2,Protein
Q9HCI7,MSL2_HUMAN,E3 ubiquitin-protein ligase MSL2,Protein
O75425,MSPD3_HUMAN,Motile sperm domain-containing protein 3,Protein
Q9UJ68,MSRA_HUMAN,Mitochondrial peptide methionine sulfoxide reductase,Protein
Q9Y3D2,MSRB2_HUMAN,"Methionine-R-sulfoxide reductase B2, mitochondrial",Protein
Q8IXL7,MSRB3_HUMAN,Methionine-R-sulfoxide reductase B3,Protein
Q9NZV6,MSRB1_HUMAN,Methionine-R-sulfoxide reductase B1,Protein
P21757,MSRE_HUMAN,Macrophage scavenger receptor types I and II,Protein
Q2TV78,MST1L_HUMAN,Putative macrophage stimulating 1-like protein,Protein
Q8IVN3,MSTN1_HUMAN,Musculoskeletal embryonic nuclear protein 1,Protein
P47224,MSS4_HUMAN,Guanine nucleotide exchange factor MSS4,Protein
Q4VC12,MSS51_HUMAN,"Putative protein MSS51 homolog, mitochondrial",Protein
Q9BUK6,MSTO1_HUMAN,Protein misato homolog 1,Protein
P35548,MSX2_HUMAN,Homeobox protein MSX-2,Protein
P28360,MSX1_HUMAN,Homeobox protein MSX-1,Protein
A1L3X4,MT1DP_HUMAN,Putative metallothionein MT1DP,Protein
Q9BYG7,MSTRO_HUMAN,Protein maestro,Protein
P04731,MT1A_HUMAN,Metallothionein-1A,Protein
P04732,MT1E_HUMAN,Metallothionein-1E,Protein
A6NDL7,MT21E_HUMAN,Putative methyltransferase-like protein 21E pseudogene,Protein
P04733,MT1F_HUMAN,Metallothionein-1F,Protein
P13640,MT1G_HUMAN,Metallothionein-1G,Protein
P07438,MT1B_HUMAN,Metallothionein-1B,Protein
Q8WXB1,MT21A_HUMAN,Protein N-lysine methyltransferase METTL21A,Protein
P80294,MT1H_HUMAN,Metallothionein-1H,Protein
Q93083,MT1L_HUMAN,Metallothionein-1L,Protein
Q8N339,MT1M_HUMAN,Metallothionein-1M,Protein
Q96FB5,MT25B_HUMAN,Methyltransferase-like protein 25B,Protein
P80297,MT1X_HUMAN,Metallothionein-1X,Protein
P47944,MT4_HUMAN,Metallothionein-4,Protein
Q5VZV1,MT21C_HUMAN,Protein-lysine methyltransferase METTL21C,Protein
P25713,MT3_HUMAN,Metallothionein-3,Protein
Q13330,MTA1_HUMAN,Metastasis-associated protein MTA1,Protein
P02795,MT2_HUMAN,Metallothionein-2,Protein
Q9H867,MT21D_HUMAN,Protein N-lysine methyltransferase METTL21D,Protein
Q13126,MTAP_HUMAN,S-methyl-5'-thioadenosine phosphorylase,Protein
O94776,MTA2_HUMAN,Metastasis-associated protein MTA2,Protein
P11137,MTAP2_HUMAN,Microtubule-associated protein 2,Protein
Q9BTC8,MTA3_HUMAN,Metastasis-associated protein MTA3,Protein
Q9Y4B5,MTCL1_HUMAN,Microtubule cross-linking factor 1,Protein
Q86U44,MTA70_HUMAN,N6-adenosine-methyltransferase catalytic subunit,Protein
Q9H903,MTD2L_HUMAN,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2, mitochondrial",Protein
Q14872,MTF1_HUMAN,Metal regulatory transcription factor 1,Protein
O94964,MTCL2_HUMAN,Microtubule cross-linking factor 2,Protein
Q96DY7,MTBP_HUMAN,Mdm2-binding protein,Protein
Q96E29,MTEF3_HUMAN,"Transcription termination factor 3, mitochondrial",Protein
Q5TF21,MTCL3_HUMAN,Microtubule cross-linking factor 3,Protein
Q9NZJ7,MTCH1_HUMAN,Mitochondrial carrier homolog 1,Protein
P56278,MTCP1_HUMAN,Protein p13 MTCP-1,Protein
Q7Z6M4,MTEF4_HUMAN,"Transcription termination factor 4, mitochondrial",Protein
Q9Y483,MTF2_HUMAN,Metal-response element-binding transcription factor 2,Protein
Q99551,MTEF1_HUMAN,"Transcription termination factor 1, mitochondrial",Protein
Q9Y6C9,MTCH2_HUMAN,Mitochondrial carrier homolog 2,Protein
P13995,MTDC_HUMAN,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Protein
Q49AM1,MTEF2_HUMAN,"Transcription termination factor 2, mitochondrial",Protein
Q9UDX5,MTFP1_HUMAN,Mitochondrial fission process protein 1,Protein
Q9BT17,MTG1_HUMAN,Mitochondrial ribosome-associated GTPase 1,Protein
Q15390,MTFR1_HUMAN,Mitochondrial fission regulator 1,Protein
Q6P444,MTFR2_HUMAN,Mitochondrial fission regulator 2,Protein
Q9H4K7,MTG2_HUMAN,Mitochondrial ribosome-associated GTPase 2,Protein
O75081,MTG16_HUMAN,Protein CBFA2T3,Protein
O43439,MTG8R_HUMAN,Protein CBFA2T2,Protein
Q06455,MTG8_HUMAN,Protein CBFA2T1,Protein
P49914,MTHFS_HUMAN,5-formyltetrahydrofolate cyclo-ligase,Protein
Q2M296,MTHSD_HUMAN,Methenyltetrahydrofolate synthase domain-containing protein,Protein
Q9Y4I5,MTL5_HUMAN,Tesmin,Protein
Q96S19,MTL26_HUMAN,Methyltransferase-like 26,Protein
Q8NCU8,MTLN_HUMAN,Mitoregulin,Protein
Q13615,MTMR3_HUMAN,Myotubularin-related protein 3,Protein
P42898,MTHR_HUMAN,Methylenetetrahydrofolate reductase (NADPH),Protein
Q96QG7,MTMR9_HUMAN,Myotubularin-related protein 9,Protein
O43193,MTLR_HUMAN,Motilin receptor,Protein
Q13613,MTMR1_HUMAN,Myotubularin-related protein 1,Protein
Q9NXD2,MTMRA_HUMAN,Myotubularin-related protein 10,Protein
Q9NYA4,MTMR4_HUMAN,Myotubularin-related protein 4,Protein
A4FU01,MTMRB_HUMAN,Myotubularin-related protein 11,Protein
Q9C0I1,MTMRC_HUMAN,Myotubularin-related protein 12,Protein
Q13496,MTM1_HUMAN,Myotubularin,Protein
O95248,MTMR5_HUMAN,Myotubularin-related protein 5,Protein
Q13614,MTMR2_HUMAN,Myotubularin-related protein 2,Protein
Q86WG5,MTMRD_HUMAN,Myotubularin-related protein 13,Protein
Q9BV20,MTNA_HUMAN,Methylthioribose-1-phosphate isomerase,Protein
Q9Y217,MTMR6_HUMAN,Myotubularin-related protein 6,Protein
Q8NCE2,MTMRE_HUMAN,Myotubularin-related protein 14,Protein
Q9Y216,MTMR7_HUMAN,Myotubularin-related protein 7,Protein
Q96EF0,MTMR8_HUMAN,Myotubularin-related protein 8,Protein
Q96GX9,MTNB_HUMAN,Methylthioribulose-1-phosphate dehydratase,Protein
Q9BV57,MTND_HUMAN,Acireductone dioxygenase,Protein
P48039,MTR1A_HUMAN,Melatonin receptor type 1A,Protein
P42345,MTOR_HUMAN,Serine/threonine-protein kinase mTOR,Protein
Q9Y2Z2,MTO1_HUMAN,"Protein MTO1 homolog, mitochondrial",Protein
P58546,MTPN_HUMAN,Myotrophin,Protein
P49286,MTR1B_HUMAN,Melatonin receptor type 1B,Protein
P55157,MTP_HUMAN,Microsomal triglyceride transfer protein large subunit,Protein
Q13585,MTR1L_HUMAN,Melatonin-related receptor,Protein
P42285,MTREX_HUMAN,Exosome RNA helicase MTR4,Protein
Q9UBK8,MTRR_HUMAN,Methionine synthase reductase,Protein
O75648,MTU1_HUMAN,Mitochondrial tRNA-specific 2-thiouridylase 1,Protein
Q5JR59,MTUS2_HUMAN,Microtubule-associated tumor suppressor candidate 2,Protein
Q9H3J6,MTRFR_HUMAN,Mitochondrial translation release factor in rescue,Protein
O75431,MTX2_HUMAN,Metaxin-2,Protein
O43312,MTSS1_HUMAN,Protein MTSS 1,Protein
Q5HYI7,MTX3_HUMAN,Metaxin-3,Protein
Q8N3F0,MTURN_HUMAN,Maturin,Protein
Q765P7,MTSS2_HUMAN,Protein MTSS 2,Protein
Q13505,MTX1_HUMAN,Metaxin-1,Protein
Q9ULD2,MTUS1_HUMAN,Microtubule-associated tumor suppressor 1,Protein
Q9ULC0,MUCEN_HUMAN,Endomucin,Protein
Q02505,MUC3A_HUMAN,Mucin-3A,Protein
Q9UKN1,MUC12_HUMAN,Mucin-12,Protein
Q9H195,MUC3B_HUMAN,Mucin-3B,Protein
Q9H3R2,MUC13_HUMAN,Mucin-13,Protein
Q96DR8,MUCL1_HUMAN,Mucin-like protein 1,Protein
Q8N387,MUC15_HUMAN,Mucin-15,Protein
P15941,MUC1_HUMAN,Mucin-1,Protein
Q3MIW9,MUCL3_HUMAN,Mucin-like protein 3,Protein
Q99102,MUC4_HUMAN,Mucin-4,Protein
Q8WXI7,MUC16_HUMAN,Mucin-16,Protein
Q8N307,MUC20_HUMAN,Mucin-20,Protein
Q685J3,MUC17_HUMAN,Mucin-17,Protein
P43121,MUC18_HUMAN,Cell surface glycoprotein MUC18,Protein
Q5SSG8,MUC21_HUMAN,Mucin-21,Protein
E2RYF6,MUC22_HUMAN,Mucin-22,Protein
Q04900,MUC24_HUMAN,Sialomucin core protein 24,Protein
P98088,MUC5A_HUMAN,Mucin-5AC,Protein
Q7Z5P9,MUC19_HUMAN,Mucin-19,Protein
Q9HC84,MUC5B_HUMAN,Mucin-5B,Protein
Q02817,MUC2_HUMAN,Mucin-2,Protein
Q6W4X9,MUC6_HUMAN,Mucin-6,Protein
Q8TAX7,MUC7_HUMAN,Mucin-7,Protein
Q969V5,MUL1_HUMAN,Mitochondrial ubiquitin ligase activator of NFKB 1,Protein
O60682,MUSC_HUMAN,Musculin,Protein
O15146,MUSK_HUMAN,"Muscle, skeletal receptor tyrosine-protein kinase",Protein
Q8N9H8,MUT7_HUMAN,Exonuclease mut-7 homolog,Protein
Q96NY9,MUS81_HUMAN,Crossover junction endonuclease MUS81,Protein
P22033,MUTA_HUMAN,"Methylmalonyl-CoA mutase, mitochondrial",Protein
P53602,MVD1_HUMAN,Diphosphomevalonate decarboxylase,Protein
Q14764,MVP_HUMAN,Major vault protein,Protein
Q9UIF7,MUTYH_HUMAN,Adenine DNA glycosylase,Protein
P50539,MXI1_HUMAN,Max-interacting protein 1,Protein
Q96S97,MYADM_HUMAN,Myeloid-associated differentiation marker,Protein
P20592,MX2_HUMAN,Interferon-induced GTP-binding protein Mx2,Protein
Q96JP2,MY15B_HUMAN,Unconventional myosin-XVB,Protein
P20591,MX1_HUMAN,Interferon-induced GTP-binding protein Mx1,Protein
Q9NR99,MXRA5_HUMAN,Matrix-remodeling-associated protein 5,Protein
P84157,MXRA7_HUMAN,Matrix-remodeling-associated protein 7,Protein
Q92614,MY18A_HUMAN,Unconventional myosin-XVIIIa,Protein
Q9BRK3,MXRA8_HUMAN,Matrix remodeling-associated protein 8,Protein
Q8TBZ2,MYBPP_HUMAN,MYCBP-associated protein,Protein
Q8IUG5,MY18B_HUMAN,Unconventional myosin-XVIIIb,Protein
Q13203,MYBPH_HUMAN,Myosin-binding protein H,Protein
A0A1B0GUC4,MYCOS_HUMAN,Myocilin opposite strand protein,Protein
P10242,MYB_HUMAN,Transcriptional activator Myb,Protein
P12525,MYCP1_HUMAN,Putative myc-like protein MYCLP1,Protein
Q8IZQ8,MYCD_HUMAN,Myocardin,Protein
P10243,MYBA_HUMAN,Myb-related protein A,Protein
O75592,MYCB2_HUMAN,E3 ubiquitin-protein ligase MYCBP2,Protein
Q7Z401,MYCPP_HUMAN,C-myc promoter-binding protein,Protein
P10244,MYBB_HUMAN,Myb-related protein B,Protein
P12524,MYCL_HUMAN,Protein L-Myc,Protein
P13349,MYF5_HUMAN,Myogenic factor 5,Protein
Q8N699,MYCT1_HUMAN,Myc target protein 1,Protein
Q9HB07,MYG1_HUMAN,MYG1 exonuclease,Protein
P04198,MYCN_HUMAN,N-myc proto-oncogene protein,Protein
Q96QE2,MYCT_HUMAN,Proton myo-inositol cotransporter,Protein
Q99417,MYCBP_HUMAN,c-Myc-binding protein,Protein
P23409,MYF6_HUMAN,Myogenic factor 6,Protein
P01106,MYC_HUMAN,Myc proto-oncogene protein,Protein
Q969H8,MYDGF_HUMAN,Myeloid-derived growth factor,Protein
Q9P2K5,MYEF2_HUMAN,Myelin expression factor 2,Protein
Q99836,MYD88_HUMAN,Myeloid differentiation primary response protein MyD88,Protein
Q96EZ4,MYEOV_HUMAN,Myeloma-overexpressed gene protein,Protein
Q9BUA6,MYL10_HUMAN,Myosin regulatory light chain 10,Protein
Q9UKX3,MYH13_HUMAN,Myosin-13,Protein
Q96A32,MYL11_HUMAN,Myosin regulatory light chain 11,Protein
Q9UKX2,MYH2_HUMAN,Myosin-2,Protein
P12829,MYL4_HUMAN,Myosin light chain 4,Protein
P02144,MYG_HUMAN,Myoglobin,Protein
Q7Z406,MYH14_HUMAN,Myosin-14,Protein
Q02045,MYL5_HUMAN,Myosin light chain 5,Protein
P11055,MYH3_HUMAN,Myosin-3,Protein
P14649,MYL6B_HUMAN,Myosin light chain 6B,Protein
P05976,MYL1_HUMAN,"Myosin light chain 1/3, skeletal muscle isoform",Protein
Q8WY64,MYLIP_HUMAN,E3 ubiquitin-protein ligase MYLIP,Protein
Q9Y2K3,MYH15_HUMAN,Myosin-15,Protein
P35580,MYH10_HUMAN,Myosin-10,Protein
A0A1B0GTQ4,MYMX_HUMAN,Protein myomixer,Protein
Q9H6N6,MYH16_HUMAN,Putative uncharacterized protein MYH16,Protein
Q9Y623,MYH4_HUMAN,Myosin-4,Protein
Q9H1R3,MYLK2_HUMAN,"Myosin light chain kinase 2, skeletal/cardiac muscle",Protein
P60660,MYL6_HUMAN,Myosin light polypeptide 6,Protein
P08590,MYL3_HUMAN,Myosin light chain 3,Protein
P12883,MYH7_HUMAN,Myosin-7,Protein
P12882,MYH1_HUMAN,Myosin-1,Protein
Q9NPC7,MYNN_HUMAN,Myoneurin,Protein
Q32MK0,MYLK3_HUMAN,Myosin light chain kinase 3,Protein
Q9UKN7,MYO15_HUMAN,Unconventional myosin-XV,Protein
P35749,MYH11_HUMAN,Myosin-11,Protein
P24844,MYL9_HUMAN,Myosin regulatory light polypeptide 9,Protein
P13533,MYH6_HUMAN,Myosin-6,Protein
Q15746,MYLK_HUMAN,"Myosin light chain kinase, smooth muscle",Protein
P13535,MYH8_HUMAN,Myosin-8,Protein
Q86YV6,MYLK4_HUMAN,Myosin light chain kinase family member 4,Protein
Q9Y6X6,MYO16_HUMAN,Unconventional myosin-XVI,Protein
B0I1T2,MYO1G_HUMAN,Unconventional myosin-Ig,Protein
Q9HD67,MYO10_HUMAN,Unconventional myosin-X,Protein
A7E2Y1,MYH7B_HUMAN,Myosin-7B,Protein
O00159,MYO1C_HUMAN,Unconventional myosin-Ic,Protein
Q8N1T3,MYO1H_HUMAN,Unconventional myosin-Ih,Protein
Q8NEV4,MYO3A_HUMAN,Myosin-IIIa,Protein
P35579,MYH9_HUMAN,Myosin-9,Protein
Q9Y4I1,MYO5A_HUMAN,Unconventional myosin-Va,Protein
Q8WXR4,MYO3B_HUMAN,Myosin-IIIb,Protein
Q96H55,MYO19_HUMAN,Unconventional myosin-XIX,Protein
A6NI61,MYMK_HUMAN,Protein myomaker,Protein
O94832,MYO1D_HUMAN,Unconventional myosin-Id,Protein
Q9UBC5,MYO1A_HUMAN,Unconventional myosin-Ia,Protein
Q13402,MYO7A_HUMAN,Unconventional myosin-VIIa,Protein
P54296,MYOM2_HUMAN,Myomesin-2,Protein
Q9ULV0,MYO5B_HUMAN,Unconventional myosin-Vb,Protein
Q5VTT5,MYOM3_HUMAN,Myomesin-3,Protein
O43795,MYO1B_HUMAN,Unconventional myosin-Ib,Protein
Q9NZM1,MYOF_HUMAN,Myoferlin,Protein
Q12965,MYO1E_HUMAN,Unconventional myosin-Ie,Protein
Q9NPC6,MYOZ2_HUMAN,Myozenin-2,Protein
P15172,MYOD1_HUMAN,Myoblast determination protein 1,Protein
Q9NQX4,MYO5C_HUMAN,Unconventional myosin-Vc,Protein
Q6PIF6,MYO7B_HUMAN,Unconventional myosin-VIIb,Protein
Q00872,MYPC1_HUMAN,"Myosin-binding protein C, slow-type",Protein
Q5VU43,MYOME_HUMAN,Myomegalin,Protein
O00160,MYO1F_HUMAN,Unconventional myosin-If,Protein
Q8TDC0,MYOZ3_HUMAN,Myozenin-3,Protein
Q14324,MYPC2_HUMAN,"Myosin-binding protein C, fast-type",Protein
P15173,MYOG_HUMAN,Myogenin,Protein
B2RTY4,MYO9A_HUMAN,Unconventional myosin-IXa,Protein
P60201,MYPR_HUMAN,Myelin proteolipid protein,Protein
Q6NSJ0,MYORG_HUMAN,Myogenesis-regulating glycosidase,Protein
Q99972,MYOC_HUMAN,Myocilin,Protein
Q9Y2G1,MYRF_HUMAN,Myelin regulatory factor,Protein
Q14896,MYPC3_HUMAN,"Myosin-binding protein C, cardiac-type",Protein
Q9UBF9,MYOTI_HUMAN,Myotilin,Protein
Q13459,MYO9B_HUMAN,Unconventional myosin-IXb,Protein
Q9UM54,MYO6_HUMAN,Unconventional myosin-VI,Protein
P25189,MYP0_HUMAN,Myelin protein P0,Protein
Q9NP98,MYOZ1_HUMAN,Myozenin-1,Protein
Q86TC9,MYPN_HUMAN,Myopalladin,Protein
Q8NFW9,MYRIP_HUMAN,Rab effector MyRIP,Protein
P52179,MYOM1_HUMAN,Myomesin-1,Protein
Q86VE0,MYPOP_HUMAN,"Myb-related transcription factor, partner of profilin",Protein
P28698,MZF1_HUMAN,Myeloid zinc finger 1,Protein
Q9UL68,MYT1L_HUMAN,Myelin transcription factor 1-like protein,Protein
Q5VVJ2,MYSM1_HUMAN,Deubiquitinase MYSM1,Protein
O14974,MYPT1_HUMAN,Protein phosphatase 1 regulatory subunit 12A,Protein
P02689,MYP2_HUMAN,Myelin P2 protein,Protein
P0CAP1,MYZAP_HUMAN,Myocardial zonula adherens protein,Protein
Q01538,MYT1_HUMAN,Myelin transcription factor 1,Protein
Q08AG7,MZT1_HUMAN,Mitotic-spindle organizing protein 1,Protein
Q8WU39,MZB1_HUMAN,Marginal zone B- and B1-cell-specific protein,Protein
O60237,MYPT2_HUMAN,Protein phosphatase 1 regulatory subunit 12B,Protein
Q6P582,MZT2A_HUMAN,Mitotic-spindle organizing protein 2A,Protein
Q6NZ67,MZT2B_HUMAN,Mitotic-spindle organizing protein 2B,Protein
Q86UW6,N4BP2_HUMAN,NEDD4-binding protein 2,Protein
Q5TBK1,N42L1_HUMAN,NEDD4-binding protein 2-like 1,Protein
Q92802,N42L2_HUMAN,NEDD4-binding protein 2-like 2,Protein
O15049,N4BP3_HUMAN,NEDD4-binding protein 3,Protein
Q14CX7,NAA25_HUMAN,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",Protein
Q9BXJ9,NAA15_HUMAN,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",Protein
Q9BRA0,NAA38_HUMAN,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",Protein
Q9H1M0,N62CL_HUMAN,Nucleoporin-62 C-terminal-like protein,Protein
O75113,N4BP1_HUMAN,NEDD4-binding protein 1,Protein
Q6N069,NAA16_HUMAN,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",Protein
Q147X3,NAA30_HUMAN,N-alpha-acetyltransferase 30,Protein
Q9H7X0,NAA60_HUMAN,N-alpha-acetyltransferase 60,Protein
Q9Y5N5,N6MT1_HUMAN,Methyltransferase N6AMT1,Protein
Q86UY6,NAA40_HUMAN,N-alpha-acetyltransferase 40,Protein
P32418,NAC1_HUMAN,Sodium/calcium exchanger 1,Protein
P61599,NAA20_HUMAN,N-alpha-acetyltransferase 20,Protein
P41227,NAA10_HUMAN,N-alpha-acetyltransferase 10,Protein
Q93015,NAA80_HUMAN,N-alpha-acetyltransferase 80,Protein
Q5VZE5,NAA35_HUMAN,"N-alpha-acetyltransferase 35, NatC auxiliary subunit",Protein
Q13506,NAB1_HUMAN,NGFI-A-binding protein 1,Protein
Q9BSU3,NAA11_HUMAN,N-alpha-acetyltransferase 11,Protein
Q9GZZ1,NAA50_HUMAN,N-alpha-acetyltransferase 50,Protein
Q15742,NAB2_HUMAN,NGFI-A-binding protein 2,Protein
Q02083,NAAA_HUMAN,N-acylethanolamine-hydrolyzing acid amidase,Protein
P57103,NAC3_HUMAN,Sodium/calcium exchanger 3,Protein
Q13765,NACA_HUMAN,Nascent polypeptide-associated complex subunit alpha,Protein
Q96BF6,NACC2_HUMAN,Nucleus accumbens-associated protein 2,Protein
Q9UPR5,NAC2_HUMAN,Sodium/calcium exchanger 2,Protein
Q9H009,NACA2_HUMAN,Nascent polypeptide-associated complex subunit alpha-2,Protein
O15069,NACAD_HUMAN,NAC-alpha domain-containing protein 1,Protein
Q53FP2,NACHO_HUMAN,Novel acetylcholine receptor chaperone,Protein
E9PAV3,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",Protein
Q96RE7,NACC1_HUMAN,Nucleus accumbens-associated protein 1,Protein
Q9BZK3,NACP4_HUMAN,Putative nascent polypeptide-associated complex subunit alpha-like protein,Protein
Q9BWU0,NADAP_HUMAN,Kanadaptin,Protein
Q15274,NADC_HUMAN,Nicotinate-nucleotide pyrophosphorylase [carboxylating],Protein
Q6IA69,NADE_HUMAN,Glutamine-dependent NAD(+) synthetase,Protein
O95544,NADK_HUMAN,NAD kinase,Protein
Q58DX5,NADL2_HUMAN,Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2,Protein
Q96HR8,NAF1_HUMAN,H/ACA ribonucleoprotein complex non-core subunit NAF1,Protein
Q9Y303,NAGA_HUMAN,N-acetylglucosamine-6-phosphate deacetylase,Protein
P17050,NAGAB_HUMAN,Alpha-N-acetylgalactosaminidase,Protein
Q9UK23,NAGPA_HUMAN,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Protein
Q9UJ70,NAGK_HUMAN,N-acetyl-D-glucosamine kinase,Protein
Q8N159,NAGS_HUMAN,"N-acetylglutamate synthase, mitochondrial",Protein
Q69YI7,NAIF1_HUMAN,Nuclear apoptosis-inducing factor 1,Protein
P59046,NAL12_HUMAN,"NACHT, LRR and PYD domains-containing protein 12",Protein
Q4G0N4,NAKD2_HUMAN,"NAD kinase 2, mitochondrial",Protein
Q86W25,NAL13_HUMAN,"NACHT, LRR and PYD domains-containing protein 13",Protein
B1AL88,NALF1_HUMAN,NALCN channel auxiliary factor 1,Protein
Q86W24,NAL14_HUMAN,"NACHT, LRR and PYD domains-containing protein 14",Protein
O75949,NALF2_HUMAN,NALCN channel auxiliary factor 2,Protein
Q86W26,NAL10_HUMAN,"NACHT, LRR and PYD domains-containing protein 10",Protein
Q9NX02,NALP2_HUMAN,"NACHT, LRR and PYD domains-containing protein 2",Protein
Q96MN2,NALP4_HUMAN,"NACHT, LRR and PYD domains-containing protein 4",Protein
P59045,NAL11_HUMAN,"NACHT, LRR and PYD domains-containing protein 11",Protein
Q8IZF0,NALCN_HUMAN,Sodium leak channel NALCN,Protein
P59047,NALP5_HUMAN,"NACHT, LRR and PYD domains-containing protein 5",Protein
Q9Y3Q0,NALD2_HUMAN,N-acetylated-alpha-linked acidic dipeptidase 2,Protein
Q8WX94,NALP7_HUMAN,"NACHT, LRR and PYD domains-containing protein 7",Protein
Q86W28,NALP8_HUMAN,"NACHT, LRR and PYD domains-containing protein 8",Protein
P43490,NAMPT_HUMAN,Nicotinamide phosphoribosyltransferase,Protein
Q9UQQ1,NALDL_HUMAN,Aminopeptidase NAALADL1,Protein
Q7Z5D8,NANGN_HUMAN,NANOG neighbor homeobox,Protein
Q9H9S0,NANOG_HUMAN,Homeobox protein NANOG,Protein
Q8N7R0,NANG2_HUMAN,Putative homeobox protein NANOG2,Protein
Q8WY41,NANO1_HUMAN,Nanos homolog 1,Protein
Q6NSW7,NANP8_HUMAN,Homeobox protein NANOGP8,Protein
Q8TBE9,NANP_HUMAN,N-acylneuraminate-9-phosphatase,Protein
P60321,NANO2_HUMAN,Nanos homolog 2,Protein
P60323,NANO3_HUMAN,Nanos homolog 3,Protein
Q6IQ20,NAPEP_HUMAN,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D,Protein
P52961,NAR1_HUMAN,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1,Protein
Q9UHQ1,NARF_HUMAN,Nuclear prelamin A recognition factor,Protein
Q13508,NAR3_HUMAN,Ecto-ADP-ribosyltransferase 3,Protein
Q93070,NAR4_HUMAN,Ecto-ADP-ribosyltransferase 4,Protein
Q96L15,NAR5_HUMAN,Ecto-ADP-ribosyltransferase 5,Protein
P0DI83,NARR_HUMAN,"Ras-related protein Rab-34, isoform NARR",Protein
O96009,NAPSA_HUMAN,Napsin-A,Protein
Q8WUY8,NAT14_HUMAN,Probable N-acetyltransferase 14,Protein
P49321,NASP_HUMAN,Nuclear autoantigenic sperm protein,Protein
Q8N9F0,NAT8L_HUMAN,N-acetylaspartate synthetase,Protein
Q8N8M0,NAT16_HUMAN,Probable N-acetyltransferase 16,Protein
Q8N6N6,NATD1_HUMAN,Protein NATD1,Protein
Q9UHE5,NAT8_HUMAN,N-acetyltransferase 8,Protein
