NodeType: Protein | FullName: Amino acid transporter heavy chain SLC3A1 | EntryName: SLC31_HUMAN | ProteinId: Q07837
NodeType: Protein | FullName: Putative 3-phosphoinositide-dependent protein kinase 2 | EntryName: PDPK2_HUMAN | ProteinId: Q6A1A2
NodeType: Protein | FullName: [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial | EntryName: PDK3_HUMAN | ProteinId: Q15120
NodeType: Protein | FullName: PDZ and LIM domain protein 2 | EntryName: PDLI2_HUMAN | ProteinId: Q96JY6
NodeType: Protein | FullName: PDZ and LIM domain protein 5 | EntryName: PDLI5_HUMAN | ProteinId: Q96HC4
NodeType: Protein | FullName: Podoplanin | EntryName: PDPN_HUMAN | ProteinId: Q86YL7
NodeType: Protein | FullName: Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial | EntryName: PDPR_HUMAN | ProteinId: Q8NCN5
NodeType: Protein | FullName: p53 and DNA damage-regulated protein 1 | EntryName: PDRG1_HUMAN | ProteinId: Q9NUG6
NodeType: Protein | FullName: Sister chromatid cohesion protein PDS5 homolog A | EntryName: PDS5A_HUMAN | ProteinId: Q29RF7
NodeType: Protein | FullName: Sister chromatid cohesion protein PDS5 homolog B | EntryName: PDS5B_HUMAN | ProteinId: Q9NTI5
NodeType: Protein | FullName: Pancreas/duodenum homeobox protein 1 | EntryName: PDX1_HUMAN | ProteinId: P52945
NodeType: Protein | FullName: Pyridoxal-dependent decarboxylase domain-containing protein 1 | EntryName: PDXD1_HUMAN | ProteinId: Q6P996
NodeType: Protein | FullName: Putative pyridoxal-dependent decarboxylase domain-containing protein 2 | EntryName: PDXD2_HUMAN | ProteinId: Q6P474
NodeType: Protein | FullName: Podocalyxin-like protein 2 | EntryName: PDXL2_HUMAN | ProteinId: Q9NZ53
NodeType: Protein | FullName: Pyridoxal kinase | EntryName: PDXK_HUMAN | ProteinId: O00764
NodeType: Protein | FullName: PDZ domain-containing protein 9 | EntryName: PDZD9_HUMAN | ProteinId: Q8IXQ8
NodeType: Protein | FullName: PDZ domain-containing protein 11 | EntryName: PDZ11_HUMAN | ProteinId: Q5EBL8
NodeType: Protein | FullName: PDZK1-interacting protein 1 | EntryName: PDZ1I_HUMAN | ProteinId: Q13113
NodeType: Protein | FullName: Putative PDZ domain-containing protein PDZK1P1 | EntryName: PDZ1P_HUMAN | ProteinId: A8MUH7
NodeType: Protein | FullName: PDZ domain-containing protein 2 | EntryName: PDZD2_HUMAN | ProteinId: O15018
NodeType: Protein | FullName: PDZ domain-containing protein 4 | EntryName: PDZD4_HUMAN | ProteinId: Q76G19
NodeType: Protein | FullName: Prostaglandin E2 receptor EP3 subtype | EntryName: PE2R3_HUMAN | ProteinId: P43115
NodeType: Protein | FullName: Astrocytic phosphoprotein PEA-15 | EntryName: PEA15_HUMAN | ProteinId: Q15121
NodeType: Protein | FullName: Platelet endothelial aggregation receptor 1 | EntryName: PEAR1_HUMAN | ProteinId: Q5VY43
NodeType: Protein | FullName: PDZ domain-containing protein 7 | EntryName: PDZD7_HUMAN | ProteinId: Q9H5P4
NodeType: Protein | FullName: Proenkephalin-B | EntryName: PDYN_HUMAN | ProteinId: P01213
NodeType: Protein | FullName: Phosphatidylethanolamine-binding protein 4 | EntryName: PEBP4_HUMAN | ProteinId: Q96S96
NodeType: Protein | FullName: Prostaglandin E2 receptor EP1 subtype | EntryName: PE2R1_HUMAN | ProteinId: P34995
NodeType: Protein | FullName: Prostaglandin E2 receptor EP4 subtype | EntryName: PE2R4_HUMAN | ProteinId: P35408
NodeType: Protein | FullName: PDZ domain-containing protein 8 | EntryName: PDZD8_HUMAN | ProteinId: Q8NEN9
NodeType: Protein | FullName: Peroxisomal trans-2-enoyl-CoA reductase | EntryName: PECR_HUMAN | ProteinId: Q9BY49
NodeType: Protein | FullName: Prostaglandin E2 receptor EP2 subtype | EntryName: PE2R2_HUMAN | ProteinId: P43116
NodeType: Protein | FullName: Inactive tyrosine-protein kinase PEAK1 | EntryName: PEAK1_HUMAN | ProteinId: Q9H792
NodeType: Protein | FullName: Core-binding factor subunit beta | EntryName: PEBB_HUMAN | ProteinId: Q13951
NodeType: Protein | FullName: Phosphatidylethanolamine-binding protein 1 | EntryName: PEBP1_HUMAN | ProteinId: P30086
NodeType: Protein | FullName: Pigment epithelium-derived factor | EntryName: PEDF_HUMAN | ProteinId: P36955
NodeType: Protein | FullName: Platelet endothelial cell adhesion molecule | EntryName: PECA1_HUMAN | ProteinId: P16284
NodeType: Protein | FullName: Protein PEAK3 | EntryName: PEAK3_HUMAN | ProteinId: Q6ZS72
NodeType: Protein | FullName: PC-esterase domain-containing protein 1A | EntryName: PED1A_HUMAN | ProteinId: Q9H1Q7
NodeType: Protein | FullName: E3 ubiquitin-protein ligase pellino homolog 2 | EntryName: PELI2_HUMAN | ProteinId: Q9HAT8
NodeType: Protein | FullName: Paternally-expressed gene 3 protein | EntryName: PEG3_HUMAN | ProteinId: Q9GZU2
NodeType: Protein | FullName: PC-esterase domain-containing protein 1B | EntryName: PED1B_HUMAN | ProteinId: Q96HM7
NodeType: Protein | FullName: E3 ubiquitin-protein ligase pellino homolog 3 | EntryName: PELI3_HUMAN | ProteinId: Q8N2H9
NodeType: Protein | FullName: Protein pelota homolog | EntryName: PELO_HUMAN | ProteinId: Q9BRX2
NodeType: Protein | FullName: Peflin | EntryName: PEF1_HUMAN | ProteinId: Q9UBV8
NodeType: Protein | FullName: E3 ubiquitin-protein ligase pellino homolog 1 | EntryName: PELI1_HUMAN | ProteinId: Q96FA3
NodeType: Protein | FullName: Proline-, glutamic acid- and leucine-rich protein 1 | EntryName: PELP1_HUMAN | ProteinId: Q8IZL8
NodeType: Protein | FullName: Pepsin A-5 | EntryName: PEPA5_HUMAN | ProteinId: P0DJD9
NodeType: Protein | FullName: Retrotransposon-derived protein PEG10 | EntryName: PEG10_HUMAN | ProteinId: Q86TG7
NodeType: Protein | FullName: Proenkephalin-A | EntryName: PENK_HUMAN | ProteinId: P01210
NodeType: Protein | FullName: Gamma-secretase subunit PEN-2 | EntryName: PEN2_HUMAN | ProteinId: Q9NZ42
NodeType: Protein | FullName: Phosphatidylethanolamine N-methyltransferase | EntryName: PEMT_HUMAN | ProteinId: Q9UBM1
NodeType: Protein | FullName: Pepsin A-3 | EntryName: PEPA3_HUMAN | ProteinId: P0DJD8
NodeType: Protein | FullName: Pepsin A-4 | EntryName: PEPA4_HUMAN | ProteinId: P0DJD7
NodeType: Protein | FullName: Pleckstrin homology domain-containing family A member 2 | EntryName: PKHA2_HUMAN | ProteinId: Q9HB19
NodeType: Protein | FullName: PRKCH upstream open reading frame 2 | EntryName: PKHUO_HUMAN | ProteinId: C0HM02
NodeType: Protein | FullName: Pleckstrin homology domain-containing family H member 1 | EntryName: PKHH1_HUMAN | ProteinId: Q9ULM0
NodeType: Protein | FullName: Pleckstrin homology domain-containing family F member 1 | EntryName: PKHF1_HUMAN | ProteinId: Q96S99
NodeType: Protein | FullName: Serine/threonine-protein kinase N1 | EntryName: PKN1_HUMAN | ProteinId: Q16512
NodeType: Protein | FullName: Pleckstrin homology domain-containing family M member 2 | EntryName: PKHM2_HUMAN | ProteinId: Q8IWE5
NodeType: Protein | FullName: Putative protein PLEKHA9 | EntryName: PKHA9_HUMAN | ProteinId: O95397
NodeType: Protein | FullName: Pleckstrin homology domain-containing family H member 2 | EntryName: PKHH2_HUMAN | ProteinId: Q8IVE3
NodeType: Protein | FullName: Pleckstrin homology domain-containing family A member 3 | EntryName: PKHA3_HUMAN | ProteinId: Q9HB20
NodeType: Protein | FullName: Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform | EntryName: PK3CG_HUMAN | ProteinId: P48736
NodeType: Protein | FullName: Pleckstrin homology domain-containing family B member 1 | EntryName: PKHB1_HUMAN | ProteinId: Q9UF11
NodeType: Protein | FullName: Pleckstrin homology domain-containing family M member 3 | EntryName: PKHM3_HUMAN | ProteinId: Q6ZWE6
NodeType: Protein | FullName: Pleckstrin homology domain-containing family A member 4 | EntryName: PKHA4_HUMAN | ProteinId: Q9H4M7
NodeType: Protein | FullName: Pleckstrin homology domain-containing family H member 3 | EntryName: PKHH3_HUMAN | ProteinId: Q7Z736
NodeType: Protein | FullName: Pleckstrin homology domain-containing family F member 2 | EntryName: PKHF2_HUMAN | ProteinId: Q9H8W4
NodeType: Protein | FullName: Pleckstrin homology domain-containing family J member 1 | EntryName: PKHJ1_HUMAN | ProteinId: Q9NW61
NodeType: Protein | FullName: Pleckstrin homology domain-containing family B member 2 | EntryName: PKHB2_HUMAN | ProteinId: Q96CS7
NodeType: Protein | FullName: Pleckstrin homology domain-containing family N member 1 | EntryName: PKHN1_HUMAN | ProteinId: Q494U1
NodeType: Protein | FullName: Pleckstrin homology domain-containing family G member 1 | EntryName: PKHG1_HUMAN | ProteinId: Q9ULL1
NodeType: Protein | FullName: Polycystin-2 | EntryName: PKD2_HUMAN | ProteinId: Q13563
NodeType: Protein | FullName: Pleckstrin homology domain-containing family G member 2 | EntryName: PKHG2_HUMAN | ProteinId: Q9H7P9
NodeType: Protein | FullName: Serine/threonine-protein kinase N2 | EntryName: PKN2_HUMAN | ProteinId: Q16513
NodeType: Protein | FullName: Prokineticin receptor 1 | EntryName: PKR1_HUMAN | ProteinId: Q8TCW9
NodeType: Protein | FullName: Pleckstrin homology domain-containing family G member 3 | EntryName: PKHG3_HUMAN | ProteinId: A1L390
NodeType: Protein | FullName: Plakophilin-1 | EntryName: PKP1_HUMAN | ProteinId: Q13835
NodeType: Protein | FullName: Pleckstrin homology domain-containing family O member 1 | EntryName: PKHO1_HUMAN | ProteinId: Q53GL0
NodeType: Protein | FullName: Prokineticin receptor 2 | EntryName: PKR2_HUMAN | ProteinId: Q8NFJ6
NodeType: Protein | FullName: Puratrophin-1 | EntryName: PKHG4_HUMAN | ProteinId: Q58EX7
NodeType: Protein | FullName: Serine/threonine-protein kinase N3 | EntryName: PKN3_HUMAN | ProteinId: Q6P5Z2
NodeType: Protein | FullName: PRKR-interacting protein 1 | EntryName: PKRI1_HUMAN | ProteinId: Q9H875
NodeType: Protein | FullName: Homeobox protein PKNOX1 | EntryName: PKNX1_HUMAN | ProteinId: P55347
NodeType: Protein | FullName: Plakophilin-2 | EntryName: PKP2_HUMAN | ProteinId: Q99959
NodeType: Protein | FullName: Homeobox protein PKNOX2 | EntryName: PKNX2_HUMAN | ProteinId: Q96KN3
NodeType: Protein | FullName: Plakophilin-3 | EntryName: PKP3_HUMAN | ProteinId: Q9Y446
NodeType: Protein | FullName: PLAC8-like protein 1 | EntryName: PL8L1_HUMAN | ProteinId: A1L4L8
NodeType: Protein | FullName: Placenta-specific protein 1 | EntryName: PLAC1_HUMAN | ProteinId: Q9HBJ0
NodeType: Protein | FullName: Phospholipase A1 member A | EntryName: PLA1A_HUMAN | ProteinId: Q53H76
NodeType: Protein | FullName: Placenta-specific protein 4 | EntryName: PLAC4_HUMAN | ProteinId: Q8WY50
NodeType: Protein | FullName: Placenta-specific gene 8 protein | EntryName: PLAC8_HUMAN | ProteinId: Q9NZF1
NodeType: Protein | FullName: Secretory phospholipase A2 receptor | EntryName: PLA2R_HUMAN | ProteinId: Q13018
NodeType: Protein | FullName: Placenta-specific protein 9 | EntryName: PLAC9_HUMAN | ProteinId: Q5JTB6
NodeType: Protein | FullName: Plakophilin-4 | EntryName: PKP4_HUMAN | ProteinId: Q99569
NodeType: Protein | FullName: Junction plakoglobin | EntryName: PLAK_HUMAN | ProteinId: P14923
NodeType: Protein | FullName: Zinc finger protein PLAG1 | EntryName: PLAG1_HUMAN | ProteinId: Q6DJT9
NodeType: Protein | FullName: Phospholipase A and acyltransferase 4 | EntryName: PLAT4_HUMAN | ProteinId: Q9UL19
NodeType: Protein | FullName: Phospholipase A and acyltransferase 5 | EntryName: PLAT5_HUMAN | ProteinId: Q96KN8
NodeType: Protein | FullName: Phospholipase B-like 1 | EntryName: PLBL1_HUMAN | ProteinId: Q6P4A8
NodeType: Protein | FullName: Zinc finger protein PLAGL1 | EntryName: PLAL1_HUMAN | ProteinId: Q9UM63
NodeType: Protein | FullName: PALM2-AKAP2 fusion protein | EntryName: PLAK2_HUMAN | ProteinId: Q9Y2D5
NodeType: Protein | FullName: Zinc finger protein PLAGL2 | EntryName: PLAL2_HUMAN | ProteinId: Q9UPG8
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 | EntryName: PLCD3_HUMAN | ProteinId: Q8N3E9
NodeType: Protein | FullName: Phospholipase A and acyltransferase 1 | EntryName: PLAT1_HUMAN | ProteinId: Q9HDD0
NodeType: Protein | FullName: Inactive phospholipase C-like protein 1 | EntryName: PLCL1_HUMAN | ProteinId: Q15111
NodeType: Protein | FullName: Putative phospholipase B-like 2 | EntryName: PLBL2_HUMAN | ProteinId: Q8NHP8
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 | EntryName: PLCB3_HUMAN | ProteinId: Q01970
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 | EntryName: PLCE1_HUMAN | ProteinId: Q9P212
NodeType: Protein | FullName: Phospholipase A-2-activating protein | EntryName: PLAP_HUMAN | ProteinId: Q9Y263
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4 | EntryName: PLCD4_HUMAN | ProteinId: Q9BRC7
NodeType: Protein | FullName: Inactive phospholipase C-like protein 2 | EntryName: PLCL2_HUMAN | ProteinId: Q9UPR0
NodeType: Protein | FullName: 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha | EntryName: PLCA_HUMAN | ProteinId: Q99943
NodeType: Protein | FullName: Phospholipase A and acyltransferase 2 | EntryName: PLAT2_HUMAN | ProteinId: Q9NWW9
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 | EntryName: PLCB4_HUMAN | ProteinId: Q15147
NodeType: Protein | FullName: PI-PLC X domain-containing protein 1 | EntryName: PLCX1_HUMAN | ProteinId: Q9NUJ7
NodeType: Protein | FullName: 1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon | EntryName: PLCE_HUMAN | ProteinId: Q9NUQ2
NodeType: Protein | FullName: Phospholipase B1, membrane-associated | EntryName: PLB1_HUMAN | ProteinId: Q6P1J6
NodeType: Protein | FullName: Phospholipase A and acyltransferase 3 | EntryName: PLAT3_HUMAN | ProteinId: P53816
NodeType: Protein | FullName: PI-PLC X domain-containing protein 2 | EntryName: PLCX2_HUMAN | ProteinId: Q0VAA5
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 | EntryName: PLCB1_HUMAN | ProteinId: Q9NQ66
NodeType: Protein | FullName: PRELI domain containing protein 3A | EntryName: PLD3A_HUMAN | ProteinId: Q96N28
NodeType: Protein | FullName: PI-PLC X domain-containing protein 3 | EntryName: PLCX3_HUMAN | ProteinId: Q63HM9
NodeType: Protein | FullName: Inactive phospholipase D5 | EntryName: PLD5_HUMAN | ProteinId: Q8N7P1
NodeType: Protein | FullName: 1-acyl-sn-glycerol-3-phosphate acyltransferase beta | EntryName: PLCB_HUMAN | ProteinId: O15120
NodeType: Protein | FullName: PRELI domain containing protein 3B | EntryName: PLD3B_HUMAN | ProteinId: Q9Y3B1
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1 | EntryName: PLCZ1_HUMAN | ProteinId: Q86YW0
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 | EntryName: PLCG1_HUMAN | ProteinId: P19174
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 | EntryName: PLCB2_HUMAN | ProteinId: Q00722
NodeType: Protein | FullName: 1-acyl-sn-glycerol-3-phosphate acyltransferase gamma | EntryName: PLCC_HUMAN | ProteinId: Q9NRZ7
NodeType: Protein | FullName: Plexin domain-containing protein 1 | EntryName: PLDX1_HUMAN | ProteinId: Q8IUK5
NodeType: Protein | FullName: Mitochondrial cardiolipin hydrolase | EntryName: PLD6_HUMAN | ProteinId: Q8N2A8
NodeType: Protein | FullName: 1-acyl-sn-glycerol-3-phosphate acyltransferase delta | EntryName: PLCD_HUMAN | ProteinId: Q9NRZ5
NodeType: Protein | FullName: 5'-3' exonuclease PLD3 | EntryName: PLD3_HUMAN | ProteinId: Q8IV08
NodeType: Protein | FullName: Phospholipase D1 | EntryName: PLD1_HUMAN | ProteinId: Q13393
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 | EntryName: PLCD1_HUMAN | ProteinId: P51178
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 | EntryName: PLCG2_HUMAN | ProteinId: P16885
NodeType: Protein | FullName: Platelet factor 4 | EntryName: PLF4_HUMAN | ProteinId: P02776
NodeType: Protein | FullName: 5'-3' exonuclease PLD4 | EntryName: PLD4_HUMAN | ProteinId: Q96BZ4
NodeType: Protein | FullName: Phospholipase D2 | EntryName: PLD2_HUMAN | ProteinId: O14939
NodeType: Protein | FullName: Protein O-glucosyltransferase 3 | EntryName: PLGT3_HUMAN | ProteinId: Q7Z4H8
NodeType: Protein | FullName: Pleckstrin-2 | EntryName: PLEK2_HUMAN | ProteinId: Q9NYT0
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 | EntryName: PLCH1_HUMAN | ProteinId: Q4KWH8
NodeType: Protein | FullName: Plasminogen-like protein A | EntryName: PLGA_HUMAN | ProteinId: Q15195
NodeType: Protein | FullName: Pleckstrin homology domain-containing family D member 1 | EntryName: PLHD1_HUMAN | ProteinId: A6NEE1
NodeType: Protein | FullName: Plectin | EntryName: PLEC_HUMAN | ProteinId: Q15149
NodeType: Protein | FullName: Pleckstrin | EntryName: PLEK_HUMAN | ProteinId: P08567
NodeType: Protein | FullName: Plasminogen-like protein B | EntryName: PLGB_HUMAN | ProteinId: Q02325
NodeType: Protein | FullName: 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 | EntryName: PLCH2_HUMAN | ProteinId: O75038
NodeType: Protein | FullName: Perilipin-1 | EntryName: PLIN1_HUMAN | ProteinId: O60240
NodeType: Protein | FullName: Placenta growth factor | EntryName: PLGF_HUMAN | ProteinId: P49763
NodeType: Protein | FullName: Placenta-expressed transcript 1 protein | EntryName: PLET1_HUMAN | ProteinId: Q6UQ28
NodeType: Protein | FullName: POLG alternative reading frame | EntryName: PLGRF_HUMAN | ProteinId: A0A3B3IS91
NodeType: Protein | FullName: Perilipin-2 | EntryName: PLIN2_HUMAN | ProteinId: Q99541
NodeType: Protein | FullName: Serine/threonine-protein kinase PLK2 | EntryName: PLK2_HUMAN | ProteinId: Q9NYY3
NodeType: Protein | FullName: Protein O-glucosyltransferase 2 | EntryName: PLGT2_HUMAN | ProteinId: Q6UW63
NodeType: Protein | FullName: Plasmolipin | EntryName: PLLP_HUMAN | ProteinId: Q9Y342
NodeType: Protein | FullName: Perilipin-3 | EntryName: PLIN3_HUMAN | ProteinId: O60664
NodeType: Protein | FullName: Serine/threonine-protein kinase PLK4 | EntryName: PLK4_HUMAN | ProteinId: O00444
NodeType: Protein | FullName: Perilipin-4 | EntryName: PLIN4_HUMAN | ProteinId: Q96Q06
NodeType: Protein | FullName: Serine/threonine-protein kinase PLK3 | EntryName: PLK3_HUMAN | ProteinId: Q9H4B4
NodeType: Protein | FullName: Serine/threonine-protein kinase PLK1 | EntryName: PLK1_HUMAN | ProteinId: P53350
NodeType: Protein | FullName: Perilipin-5 | EntryName: PLIN5_HUMAN | ProteinId: Q00G26
NodeType: Protein | FullName: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 | EntryName: PLOD1_HUMAN | ProteinId: Q02809
NodeType: Protein | FullName: Plasminogen | EntryName: PLMN_HUMAN | ProteinId: P00747
NodeType: Protein | FullName: Phospholemman | EntryName: PLM_HUMAN | ProteinId: O00168
NodeType: Protein | FullName: Inactive serine/threonine-protein kinase PLK5 | EntryName: PLK5_HUMAN | ProteinId: Q496M5
NodeType: Protein | FullName: Proteolipid protein 2 | EntryName: PLP2_HUMAN | ProteinId: Q04941
NodeType: Protein | FullName: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 | EntryName: PLOD2_HUMAN | ProteinId: O00469
NodeType: Protein | FullName: 1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 | EntryName: PLPL3_HUMAN | ProteinId: Q9NST1
NodeType: Protein | FullName: Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 | EntryName: PLOD3_HUMAN | ProteinId: O60568
NodeType: Protein | FullName: Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6 | EntryName: PLPP6_HUMAN | ProteinId: Q8IY26
NodeType: Protein | FullName: Phospholipid phosphatase-related protein type 3 | EntryName: PLPR3_HUMAN | ProteinId: Q6T4P5
NodeType: Protein | FullName: Patatin-like phospholipase domain-containing protein 4 | EntryName: PLPL4_HUMAN | ProteinId: P41247
NodeType: Protein | FullName: Pyridoxal phosphate homeostasis protein | EntryName: PLPHP_HUMAN | ProteinId: O94903
NodeType: Protein | FullName: Omega-hydroxyceramide transacylase | EntryName: PLPL1_HUMAN | ProteinId: Q8N8W4
NodeType: Protein | FullName: Patatin-like phospholipase domain-containing protein 5 | EntryName: PLPL5_HUMAN | ProteinId: Q7Z6Z6
NodeType: Protein | FullName: Phospholipid phosphatase 1 | EntryName: PLPP1_HUMAN | ProteinId: O14494
NodeType: Protein | FullName: Inactive phospholipid phosphatase 7 | EntryName: PLPP7_HUMAN | ProteinId: Q8NBV4
NodeType: Protein | FullName: Pleiotropic regulator 1 | EntryName: PLRG1_HUMAN | ProteinId: O43660
NodeType: Protein | FullName: Phospholipid phosphatase-related protein type 4 | EntryName: PLPR4_HUMAN | ProteinId: Q7Z2D5
NodeType: Protein | FullName: Phospholipid scramblase 2 | EntryName: PLS2_HUMAN | ProteinId: Q9NRY7
NodeType: Protein | FullName: Patatin-like phospholipase domain-containing protein 6 | EntryName: PLPL6_HUMAN | ProteinId: Q8IY17
NodeType: Protein | FullName: Patatin-like phospholipase domain-containing protein 2 | EntryName: PLPL2_HUMAN | ProteinId: Q96AD5
NodeType: Protein | FullName: Phospholipid scramblase 4 | EntryName: PLS4_HUMAN | ProteinId: Q9NRQ2
NodeType: Protein | FullName: Chronophin | EntryName: PLPP_HUMAN | ProteinId: Q96GD0
NodeType: Protein | FullName: Plasminogen receptor (KT) | EntryName: PLRKT_HUMAN | ProteinId: Q9HBL7
NodeType: Protein | FullName: Phospholipid scramblase 1 | EntryName: PLS1_HUMAN | ProteinId: O15162
NodeType: Protein | FullName: Phospholipid phosphatase 2 | EntryName: PLPP2_HUMAN | ProteinId: O43688
NodeType: Protein | FullName: Phospholipid phosphatase-related protein type 5 | EntryName: PLPR5_HUMAN | ProteinId: Q32ZL2
NodeType: Protein | FullName: Phospholipid scramblase family member 5 | EntryName: PLS5_HUMAN | ProteinId: A0PG75
NodeType: Protein | FullName: Patatin-like phospholipase domain-containing protein 7 | EntryName: PLPL7_HUMAN | ProteinId: Q6ZV29
NodeType: Protein | FullName: Phospholipid scramblase 3 | EntryName: PLS3_HUMAN | ProteinId: Q9NRY6
NodeType: Protein | FullName: Phospholipid phosphatase-related protein type 1 | EntryName: PLPR1_HUMAN | ProteinId: Q8TBJ4
NodeType: Protein | FullName: Phospholipid phosphatase 3 | EntryName: PLPP3_HUMAN | ProteinId: O14495
NodeType: Protein | FullName: Calcium-independent phospholipase A2-gamma | EntryName: PLPL8_HUMAN | ProteinId: Q9NP80
NodeType: Protein | FullName: Phospholipid phosphatase-related protein type 2 | EntryName: PLPR2_HUMAN | ProteinId: Q96GM1
NodeType: Protein | FullName: Phospholipid phosphatase 4 | EntryName: PLPP4_HUMAN | ProteinId: Q5VZY2
NodeType: Protein | FullName: Phospholipid phosphatase 5 | EntryName: PLPP5_HUMAN | ProteinId: Q8NEB5
NodeType: Protein | FullName: 85/88 kDa calcium-independent phospholipase A2 | EntryName: PLPL9_HUMAN | ProteinId: O60733
NodeType: Protein | FullName: Plastin-2 | EntryName: PLSL_HUMAN | ProteinId: P13796
NodeType: Protein | FullName: Plastin-1 | EntryName: PLSI_HUMAN | ProteinId: Q14651
NodeType: Protein | FullName: Plastin-3 | EntryName: PLST_HUMAN | ProteinId: P13797
NodeType: Protein | FullName: Plexin-A2 | EntryName: PLXA2_HUMAN | ProteinId: O75051
NodeType: Protein | FullName: Plexin-D1 | EntryName: PLXD1_HUMAN | ProteinId: Q9Y4D7
NodeType: Protein | FullName: Plexin-A3 | EntryName: PLXA3_HUMAN | ProteinId: P51805
NodeType: Protein | FullName: Phospholipid transfer protein | EntryName: PLTP_HUMAN | ProteinId: P55058
NodeType: Protein | FullName: Plexin-A4 | EntryName: PLXA4_HUMAN | ProteinId: Q9HCM2
NodeType: Protein | FullName: Plasmalemma vesicle-associated protein | EntryName: PLVAP_HUMAN | ProteinId: Q9BX97
NodeType: Protein | FullName: Putative postmeiotic segregation increased 2-like protein 1 | EntryName: PM2P1_HUMAN | ProteinId: A4D2B8
NodeType: Protein | FullName: Putative postmeiotic segregation increased 2-like protein 2 | EntryName: PM2P2_HUMAN | ProteinId: O95744
NodeType: Protein | FullName: Putative postmeiotic segregation increased 2-like protein 3 | EntryName: PM2P3_HUMAN | ProteinId: Q13401
NodeType: Protein | FullName: Paraneoplastic antigen Ma6E | EntryName: PMA6E_HUMAN | ProteinId: A0A0J9YXQ4
NodeType: Protein | FullName: Postmeiotic segregation increased 2-like protein 5 | EntryName: PM2P5_HUMAN | ProteinId: A8MQ11
NodeType: Protein | FullName: Paraneoplastic antigen Ma6F | EntryName: PMA6F_HUMAN | ProteinId: A0A0J9YX94
NodeType: Protein | FullName: Putative postmeiotic segregation increased 2-like protein 11 | EntryName: PM2PB_HUMAN | ProteinId: Q13670
NodeType: Protein | FullName: Plexin-B1 | EntryName: PLXB1_HUMAN | ProteinId: O43157
NodeType: Protein | FullName: Plexin-A1 | EntryName: PLXA1_HUMAN | ProteinId: Q9UIW2
NodeType: Protein | FullName: Peroxisomal membrane protein PMP34 | EntryName: PM34_HUMAN | ProteinId: O43808
NodeType: Protein | FullName: Plexin-B2 | EntryName: PLXB2_HUMAN | ProteinId: O15031
NodeType: Protein | FullName: Plexin-B3 | EntryName: PLXB3_HUMAN | ProteinId: Q9ULL4
NodeType: Protein | FullName: Plexin-C1 | EntryName: PLXC1_HUMAN | ProteinId: O60486
NodeType: Protein | FullName: Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 | EntryName: PMGT2_HUMAN | ProteinId: Q8NAT1
NodeType: Protein | FullName: Polyamine-modulated factor 1 | EntryName: PMF1_HUMAN | ProteinId: Q6P1K2
NodeType: Protein | FullName: Melanocyte protein PMEL | EntryName: PMEL_HUMAN | ProteinId: P40967
NodeType: Protein | FullName: Polyamine-modulated factor 1-binding protein 1 | EntryName: PMFBP_HUMAN | ProteinId: Q8TBY8
NodeType: Protein | FullName: Bisphosphoglycerate mutase | EntryName: PMGE_HUMAN | ProteinId: P07738
NodeType: Protein | FullName: Protein TMEPAI | EntryName: PMEPA_HUMAN | ProteinId: Q969W9
NodeType: Protein | FullName: Transmembrane protein PMIS2 | EntryName: PMIS2_HUMAN | ProteinId: A0A1W2PS18
NodeType: Protein | FullName: Phosphomannomutase 1 | EntryName: PMM1_HUMAN | ProteinId: Q92871
